url;referentienummer;identifier
https://nl.wikipedia.org/wiki/Paul_Ibou;DMG-A-01984;Q21395953
https://nl.wikipedia.org/wiki/Jan_Cockx;DMG-A-02008;Q2775713
https://nl.wikipedia.org/wiki/Pierre_Cardin;DMG-A-02009;Q299211
https://nl.wikipedia.org/wiki/Sint-Lucasschool_(Gent);DMG-A-02067;Q2398624
https://nl.wikipedia.org/wiki/Royal_Boch;DMG-A-02069;Q2742271
https://nl.wikipedia.org/wiki/Ramon_Casas_i_Carb%C3%B3;DMG-A-02086;Q725681
https://nl.wikipedia.org/wiki/Pieter_Leemans;DMG-A-02097;Q371277
https://nl.wikipedia.org/wiki/Peter_De_Greef_(kunstenaar);DMG-A-02098;Q2189149
https://nl.wikipedia.org/wiki/Bourdon_(edelsmederij);DMG-A-02106;Q2238906
https://nl.wikipedia.org/wiki/Eastman_Kodak;DMG-A-02118;Q486269
https://nl.wikipedia.org/wiki/Iomega;DMG-A-02124;Q1327887
https://nl.wikipedia.org/wiki/Yngve_Ekstr%C3%B6m;DMG-A-02132;Q1490509
https://nl.wikipedia.org/wiki/Fran%C3%A7ois-Joseph_Halkett;DMG-A-02134;Q2382453
https://nl.wikipedia.org/wiki/Scheurich;DMG-A-02151;Q2794077
https://nl.wikipedia.org/wiki/Cl%C3%A9ment_Behn;DMG-A-02153;Q14625897
https://nl.wikipedia.org/wiki/Jules_Renkin;DMG-A-02154;Q14995
